site_id,year,n_months_present,has_data
BR-Npw,2013,1,TRUE
BR-Npw,2014,6,TRUE
BR-Npw,2015,12,TRUE
BR-Npw,2016,12,TRUE
BR-Npw,2017,6,TRUE
BR-SM1,2015,4,TRUE
BR-SM1,2016,8,TRUE
BR-Sa1,2002,12,TRUE
BR-Sa1,2003,12,TRUE
BR-Sa1,2004,12,TRUE
BR-Sa1,2005,12,TRUE
BR-Sa1,2006,1,TRUE
BR-Sa1,2007,0,FALSE
BR-Sa1,2008,5,TRUE
BR-Sa1,2009,12,TRUE
BR-Sa1,2010,12,TRUE
BR-Sa1,2011,12,TRUE
BR-Sa3,2000,6,TRUE
BR-Sa3,2001,12,TRUE
BR-Sa3,2002,12,TRUE
BR-Sa3,2003,12,TRUE
BR-Sa3,2004,2,TRUE
BR-Xpw,2017,1,TRUE
BR-Xpw,2018,12,TRUE
BR-Xpw,2019,12,TRUE
BR-Xpw,2020,12,TRUE
BR-Xpw,2021,12,TRUE
BR-Xpw,2022,8,TRUE
BW-Gum,2018,10,TRUE
BW-Gum,2019,12,TRUE
BW-Gum,2020,9,TRUE
BW-Nxr,2019,10,TRUE
BW-Nxr,2020,9,TRUE
CA-ARB,2011,9,TRUE
CA-ARB,2012,12,TRUE
CA-ARB,2013,12,TRUE
CA-ARB,2014,12,TRUE
CA-ARB,2015,12,TRUE
CA-ARB,2016,12,TRUE
CA-ARB,2017,12,TRUE
CA-ARB,2018,10,TRUE
CA-ARB,2019,9,TRUE
CA-ARB,2020,9,TRUE
CA-ARB,2021,7,TRUE
CA-ARB,2022,10,TRUE
CA-ARB,2023,0,FALSE
CA-ARB,2024,9,TRUE
CA-ARF,2011,9,TRUE
CA-ARF,2012,11,TRUE
CA-ARF,2013,12,TRUE
CA-ARF,2014,12,TRUE
CA-ARF,2015,12,TRUE
CA-ARF,2016,12,TRUE
CA-ARF,2017,12,TRUE
CA-ARF,2018,12,TRUE
CA-ARF,2019,11,TRUE
CA-ARF,2020,8,TRUE
CA-ARF,2021,7,TRUE
CA-ARF,2022,9,TRUE
CA-ARF,2023,11,TRUE
CA-ARF,2024,9,TRUE
CA-BOU,2018,5,TRUE
CA-BOU,2019,9,TRUE
CA-BOU,2020,5,TRUE
CA-CF1,2007,3,TRUE
CA-CF1,2008,5,TRUE
CA-CF2,2008,4,TRUE
CA-CF2,2009,4,TRUE
CA-CF2,2010,6,TRUE
CA-CF2,2011,6,TRUE
CA-CF3,2022,4,TRUE
CA-CF3,2023,12,TRUE
CA-CF3,2024,12,TRUE
CA-CF3,2025,12,TRUE
CA-Ca1,1997,3,TRUE
CA-Ca1,1998,12,TRUE
CA-Ca1,1999,12,TRUE
CA-Ca1,2000,12,TRUE
CA-Ca1,2001,12,TRUE
CA-Ca1,2002,12,TRUE
CA-Ca1,2003,12,TRUE
CA-Ca1,2004,12,TRUE
CA-Ca1,2005,12,TRUE
CA-Ca1,2006,12,TRUE
CA-Ca1,2007,12,TRUE
CA-Ca1,2008,12,TRUE
CA-Ca1,2009,12,TRUE
CA-Ca1,2010,12,TRUE
CA-Ca2,2000,5,TRUE
CA-Ca2,2001,12,TRUE
CA-Ca2,2002,12,TRUE
CA-Ca2,2003,12,TRUE
CA-Ca2,2004,12,TRUE
CA-Ca2,2005,12,TRUE
CA-Ca2,2006,12,TRUE
CA-Ca2,2007,12,TRUE
